"name","source","type","year"
"SSG 08 | Mainframe 001","Fracture Case","StatTrak",2020
"P250 | Cassette","Fracture Case","StatTrak",2020
"P90 | Freight","Fracture Case","StatTrak",2020
"PP-Bizon | Runic","Fracture Case","StatTrak",2020
"MAG-7 | Monster Call","Fracture Case","StatTrak",2020
"Tec-9 | Brother","Fracture Case","StatTrak",2020
"MAC-10 | Allure","Fracture Case","StatTrak",2020
"Galil AR | Connexion","Fracture Case","StatTrak",2020
"MP5-SD | Kitbash","Fracture Case","StatTrak",2020
"M4A4 | Tooth Fairy","Fracture Case","StatTrak",2020
"Glock-18 | Vogue","Fracture Case","StatTrak",2020
"XM1014 | Entombed","Fracture Case","StatTrak",2020
"Desert Eagle | Printstream","Fracture Case","StatTrak",2020
"AK-47 | Legion of Anubis","Fracture Case","StatTrak",2020
"CZ75-Auto | Distressed","Prisma 2 Case","StatTrak",2020
"AWP | Capillary","Prisma 2 Case","StatTrak",2020
"AUG | Tom Cat","Prisma 2 Case","StatTrak",2020
"MP9 - Old Roots","The 2021 Dust 2 Collection","Souvenir",2021
"MP9 - Music Box","The 2021 Mirage collection","Souvenir",2021
"M249 - Humidor","The 2021 Mirage collection","Souvenir",2021
"SG 553 - Desert Blossom","The 2021 Mirage collection","Souvenir",2021
"XM1014 - Elegant Vines","The 2021 Mirage collection","Souvenir",2021
"Glock-18 - Pink DDPAT","The 2021 Mirage collection","Souvenir",2021
"AUG - Sand Storm","The 2021 Mirage collection","Souvenir",2021
"MP5-SD - Oxide Oasis","The 2021 Mirage collection","Souvenir",2021
"Desert Eagle - Fennec Fox","The 2021 Mirage collection","Souvenir",2021
"AWP - Desert Hydra","The 2021 Mirage collection","Souvenir",2021
"USP-S - Purple DDPAT","The 2021 Mirage collection","Souvenir",2021
"Desert Eagle - Sputnik","The 2021 Train Collection","Souvenir",2021
"M4A1-S - Fizzy Pop","The 2021 Train Collection","Souvenir",2021
"SSG 08 - Spring Twilly","The 2021 Train Collection","Souvenir",2021
"AUG - Amber Fade","The 2021 Train Collection","Souvenir",2021
"UMP-45 - Full Stop","The 2021 Train Collection","Souvenir",2021
"Tec-9 - Safety Net","The 2021 Train Collection","Souvenir",2021
"R8 Revolver - Blaze","The 2021 Train Collection","Souvenir",2021
"CZ75-Auto - Syndicate","The 2021 Train Collection","Souvenir",2021
"AWP - POP AWP","The 2021 Train Collection","Souvenir",2021
"MP5-SD - Autumn Twilly","The 2021 Train Collection","Souvenir",2021
"Nova - Red Quartz","The 2021 Train Collection","Souvenir",2021
"USP-S - Whiteout","The 2021 Train Collection","Souvenir",2021
"MAC-10 - Propaganda","The 2021 Train Collection","Souvenir",2021
"FAMAS - Meltdown","The 2021 Train Collection","Souvenir",2021
"CZ75-Auto | Circaetus","Snakebite Case","StatTrak",2021
"M4A4 - The Coalition","The 2021 Train Collection","Souvenir",2021
"Glock-18 - Gamma Doppler","The 2021 Train Collection","Souvenir",2021
"P2000 - Space Race","The 2021 Train Collection","Souvenir",2021
"MAC-10 - Strats","The 2021 Vertigo Collection","Souvenir",2021
"SG 553 | Heavy Metal","Snakebite Case","StatTrak",2021
"M249 | O.S.I.P.R.","Snakebite Case","StatTrak",2021
"Glock-18 | Clear Polymer","Snakebite Case","StatTrak",2021
"R8 Revolver - Desert Brush","The 2021 Dust 2 Collection","Souvenir",2021
"P90 - Desert DDPAT","The 2021 Dust 2 Collection","Souvenir",2021
"SG 553 - Bleached","The 2021 Dust 2 Collection","Souvenir",2021
"AWP | Neo-Noir","Danger Zone Case","StatTrak",2021
"AK-47 | Asiimov","Danger Zone Case","StatTrak",2021
"MP5-SD | Phosphor","Danger Zone Case","StatTrak",2021
"Desert Eagle | Mecha Industries","Danger Zone Case","StatTrak",2021
"UMP-45 | Momentum","Danger Zone Case","StatTrak",2021
"USP-S | Flashback","Danger Zone Case","StatTrak",2021
"P250 | Nevermore","Danger Zone Case","StatTrak",2021
"MAC-10 | Pipe Down","Danger Zone Case","StatTrak",2021
"Galil AR | Signal","Danger Zone Case","StatTrak",2021
"G3SG1 | Scavenger","Danger Zone Case","StatTrak",2021
"Tec-9 | Fubar","Danger Zone Case","StatTrak",2021
"SG 553 | Danger Close","Danger Zone Case","StatTrak",2021
"Sawed-Off | Black Sand","Danger Zone Case","StatTrak",2021
"M4A4 | Magnesium","Danger Zone Case","StatTrak",2021
"Nova | Wood Fired","Danger Zone Case","StatTrak",2021
"Glock-18 | Oxide Blaze","Danger Zone Case","StatTrak",2021
"MP9 | Modest Threat","Danger Zone Case","StatTrak",2021
"FAMAS - Faulty Wiring","The 2021 Vertigo Collection","Souvenir",2021
"XM1014 - Blue Tire","The 2021 Vertigo Collection","Souvenir",2021
"CZ75-Auto - Framework","The 2021 Vertigo Collection","Souvenir",2021
